"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_69",749,96,163,246,29,97,57,59,107,496,87,200,95,135,0,66,268,47
"OTU_699",4,0,0,0,0,1,0,0,12,0,0,22,0,0,0,0,14,0
"OTU_70",34,126,0,0,0,0,0,52,0,1542,0,0,339,55,810,0,0,78
"OTU_709",0,0,0,0,0,8,0,0,10,0,2,15,0,0,0,0,16,0
"OTU_71",0,702,304,0,98,0,0,0,0,45,37,0,378,0,0,0,1405,0
"OTU_7",4,8863,559,9,8171,104,1182,1208,0,7,1271,11,212,4154,202,943,0,2217
"OTU_719",16,0,0,0,0,0,0,0,3,15,4,0,0,0,0,0,0,0
"OTU_722",0,0,0,0,0,4,0,0,11,0,0,22,0,0,0,0,11,0
"OTU_72",25,668,371,27,400,0,14,24,0,15,17,0,15,54,1326,0,40,17
"OTU_727",0,0,2,5,0,0,13,9,7,6,5,0,0,4,0,0,0,0
"OTU_73",0,18,0,1,204,0,85,0,0,2276,0,0,0,0,112,232,1,0
"OTU_74",634,1666,62,168,0,0,37,4,0,0,6,0,7,1,75,0,0,10
"OTU_75",0,0,28,0,0,0,212,0,0,2512,0,0,0,0,0,0,45,11
"OTU_751",0,0,0,0,5,0,14,0,6,0,0,15,0,0,0,0,0,0
"OTU_76",0,0,0,0,0,0,0,0,0,0,0,46,2149,0,42,516,0,0
"OTU_768",0,0,0,0,0,0,0,0,13,0,5,10,0,0,0,0,13,0
"OTU_77",0,96,115,39,107,0,42,0,0,681,69,0,69,0,937,708,13,195
"OTU_78",855,102,95,153,1018,0,0,224,5,0,8,4,2,10,6,0,62,0
"OTU_79",11,18,3047,10,16,0,19,0,0,0,25,0,21,21,44,0,7,0
"OTU_797",0,2,0,0,0,0,0,0,7,0,0,10,0,0,0,0,20,0
"OTU_80",0,17,81,0,0,0,1853,142,3,149,0,4,23,0,13,231,29,4
"OTU_802",9,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,14,0
"OTU_8",85,357,140,260,65,2583,265,54,11327,334,121,8642,46,272,111,111,3766,24
"OTU_81",50,13,52,150,241,171,151,25,113,511,109,140,354,52,89,312,84,0
"OTU_82",0,33,2829,20,0,0,35,53,0,35,0,9,38,46,0,0,0,0
"OTU_830",0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,19,7,0
"OTU_83",218,42,308,71,271,0,42,209,0,63,85,9,153,314,56,891,36,10
"OTU_84",0,0,0,0,597,0,0,0,0,152,0,132,559,0,1072,0,0,0
"OTU_85",1246,0,0,0,1036,0,0,0,0,13,15,0,0,0,17,11,0,0
"OTU_858",0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,2,22,0
"OTU_86",0,9,2959,0,0,0,0,0,10,0,0,3,0,0,0,0,76,8
"OTU_87",0,10,4,0,7,0,0,2,0,0,924,0,1,3,1745,0,0,0
"OTU_875",0,0,0,0,0,2,0,0,2,0,0,20,0,0,0,0,4,0
"OTU_88",0,254,20,32,295,8,17,0,0,13,25,0,0,1516,0,0,0,0
"OTU_883",0,0,3,0,0,0,0,0,10,0,0,12,0,0,0,0,9,0
"OTU_885",0,0,0,0,0,3,1,0,10,0,0,0,0,0,0,0,22,0
"OTU_89",0,0,0,19,0,1633,17,0,32,20,0,290,0,0,0,0,124,0
"OTU_90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1226,1319,10
"OTU_912",0,0,0,0,0,1,0,0,9,0,0,10,0,0,0,0,9,0
"OTU_91",6,3,0,6,12,0,0,0,0,4,4,0,1941,0,0,0,0,0
"OTU_92",0,0,0,0,0,1763,0,0,14,8,0,93,0,0,0,0,0,0
"OTU_9",13886,482,5070,120,706,14,329,123,0,315,339,36,204,3359,397,665,33,117
"OTU_93",16,91,1920,14,0,0,28,0,0,176,15,0,133,23,13,0,0,0
"OTU_94",25,201,65,710,52,0,294,158,0,47,0,57,30,42,0,191,20,34
"OTU_95",0,33,0,18,22,0,1489,0,0,0,21,0,0,0,0,451,0,0
"OTU_96",0,0,2001,196,0,0,13,0,0,17,0,0,51,0,0,39,0,27
"OTU_97",0,126,37,148,0,0,100,29,0,271,171,0,395,36,79,714,0,19
"OTU_98",0,99,37,19,16,154,0,15,0,0,34,128,284,16,161,828,81,126
"OTU_99",0,81,1908,5,0,0,9,7,0,0,0,0,13,14,6,0,0,0
"OTU_995",0,7,4,2,0,0,0,3,0,0,5,0,0,3,0,0,0,0
